column_identifier,text_description
customer_unique_id,Unique identifier for a customer
member_number,Membership identifier for customer
user_num,Identifier for the user
complete_name,Complete name of the customer
given_name,Customer's given name
family_name,Customer's family name
contact_email,Customer's email contact
contact_number,Customer's contact number
postal_address,Postal address of the customer
address_line1,Customer's street address
residence_city,City of residence
residence_state,State of residence
residence_zip,Postal code of residence
residence_country,Country of residence
birth_date,Customer's birth date
client_gender,Customer's gender
client_age,Customer's age in years
job_title,Customer's profession
annual_income,Customer's annual income
work_status,Customer's employment status
relationship_status,Customer's marital status
num_dependents,Number of dependents of customer
housing_type,Customer's home ownership status
property_market_value,Current market value of property
principal_loan_amount,Amount of loan taken
loan_interest_rate,Rate of interest on loan
loan_duration,Duration of loan in months/years
installment_amount,Amount to be paid each month
loan_current_status,Current status of loan
loan_application_date,Date when loan application was submitted
loan_approval_date,Date when loan was approved
contract_sign_date,Date when contract started
contract_termination_date,Date when contract ended
billing_frequency,Frequency of billing 
bill_total_amount,Amount due in bill
payment_current_status,Status of payment
plan_type,Type of subscription purchased
plan_start_date,Date when subscription started
plan_end_date,Date when subscription ended
item_name,Name of product purchased
item_id,Unique identifier for product
purchase_date,Date when order was placed
order_number,Unique identifier for order
item_quantity,Number of units ordered
price_per_unit,Price per unit
order_total_amount,Total amount of order
delivery_address,Address for delivery of order
shipment_date,Date when order was shipped
arrival_date,Date when order was delivered
item_return_date,Date when product was returned
return_reason_text,Reason for returning product
discount_code,Code used for discount
discount_value,Amount of discount applied
tax_value,Amount of tax charged
rating_score,Rating given in customer review
feedback_text_comments,Textual feedback from customer
location_number,Unique identifier for location
location_latitude,Latitude coordinate of location
location_longitude,Longitude coordinate of location
device_serial_number,Unique identifier for device
device_ip_address,Internet Protocol address of device
device_os,Operating system of device
device_browser,Type of browser used
session_number,Unique identifier for user session
login_datetime,Time when user logged in
logout_datetime,Time when user logged out
event_timestamp_ms,Time when event occurred
event_category,Type of event
